clientEvent, server time, 10.102465, client Time, 1.370671,server step, 135, client step, 136, step Time, 136, input jump, 0
clientEvent, server time, 10.119226, client Time, 1.387949,server step, 136, client step, 137, step Time, 137, input jump, 0
clientEvent, server time, 10.135770, client Time, 1.403694,server step, 137, client step, 138, step Time, 138, input jump, 0
clientEvent, server time, 10.152596, client Time, 1.404694,server step, 138, client step, 139, step Time, 139, input jump, 0
clientEvent, server time, 10.169122, client Time, 1.421241,server step, 139, client step, 140, step Time, 140, input jump, 0
clientEvent, server time, 10.185942, client Time, 1.422241,server step, 140, client step, 141, step Time, 141, input jump, 0
clientEvent, server time, 10.202544, client Time, 1.438133,server step, 141, client step, 142, step Time, 142, input jump, 0
clientEvent, server time, 10.220433, client Time, 1.453727,server step, 142, client step, 143, step Time, 143, input jump, 0
clientEvent, server time, 10.253210, client Time, 1.454727,server step, 143, client step, 144, step Time, 144, input jump, 0
clientEvent, server time, 10.254086, client Time, 1.471329,server step, 144, client step, 145, step Time, 145, input jump, 0
clientEvent, server time, 10.270376, client Time, 1.471329,server step, 145, client step, 146, step Time, 146, input jump, 0
clientEvent, server time, 10.285867, client Time, 1.487934,server step, 146, client step, 147, step Time, 147, input jump, 0
clientEvent, server time, 10.337966, client Time, 1.504621,server step, 147, client step, 148, step Time, 148, input jump, 0
clientEvent, server time, 10.352559, client Time, 1.504621,server step, 148, client step, 149, step Time, 149, input jump, 0
clientEvent, server time, 10.369189, client Time, 1.520210,server step, 149, client step, 150, step Time, 150, input jump, 0
clientEvent, server time, 10.385998, client Time, 1.520210,server step, 150, client step, 151, step Time, 151, input jump, 0
clientEvent, server time, 10.402451, client Time, 1.537903,server step, 151, client step, 152, step Time, 152, input jump, 0
clientEvent, server time, 10.419141, client Time, 1.554618,server step, 152, client step, 153, step Time, 153, input jump, 0
clientEvent, server time, 10.435955, client Time, 1.553618,server step, 153, client step, 154, step Time, 154, input jump, 0
clientEvent, server time, 10.452510, client Time, 1.570556,server step, 154, client step, 155, step Time, 155, input jump, 0
clientEvent, server time, 10.469151, client Time, 1.570556,server step, 155, client step, 156, step Time, 156, input jump, 0
clientEvent, server time, 10.485944, client Time, 1.588207,server step, 156, client step, 157, step Time, 157, input jump, 0
clientEvent, server time, 10.502565, client Time, 1.604872,server step, 157, client step, 158, step Time, 158, input jump, 0
clientEvent, server time, 10.519322, client Time, 1.604872,server step, 158, client step, 159, step Time, 159, input jump, 0
clientEvent, server time, 10.535810, client Time, 1.621358,server step, 159, client step, 160, step Time, 160, input jump, 0
clientEvent, server time, 10.552640, client Time, 1.620358,server step, 160, client step, 161, step Time, 161, input jump, 0
clientEvent, server time, 10.569114, client Time, 1.637975,server step, 161, client step, 162, step Time, 162, input jump, 0
clientEvent, server time, 10.585787, client Time, 1.654541,server step, 162, client step, 163, step Time, 163, input jump, 0
clientEvent, server time, 10.602400, client Time, 1.654541,server step, 163, client step, 164, step Time, 164, input jump, 0
clientEvent, server time, 10.619135, client Time, 1.670184,server step, 164, client step, 165, step Time, 165, input jump, 0
clientEvent, server time, 10.635872, client Time, 1.670184,server step, 165, client step, 166, step Time, 166, input jump, 0
clientEvent, server time, 10.653007, client Time, 1.687994,server step, 166, client step, 167, step Time, 167, input jump, 0
clientEvent, server time, 10.669488, client Time, 1.704325,server step, 167, client step, 168, step Time, 168, input jump, 0
clientEvent, server time, 10.685753, client Time, 1.705325,server step, 168, client step, 169, step Time, 169, input jump, 0
clientEvent, server time, 10.702466, client Time, 1.721990,server step, 169, client step, 170, step Time, 170, input jump, 0
clientEvent, server time, 10.719099, client Time, 1.722990,server step, 170, client step, 171, step Time, 171, input jump, 0
clientEvent, server time, 10.735769, client Time, 1.737145,server step, 171, client step, 172, step Time, 172, input jump, 0
clientEvent, server time, 10.752582, client Time, 1.754591,server step, 172, client step, 173, step Time, 173, input jump, 0
clientEvent, server time, 10.769326, client Time, 1.754591,server step, 173, client step, 174, step Time, 174, input jump, 0
clientEvent, server time, 10.785826, client Time, 1.770377,server step, 174, client step, 175, step Time, 175, input jump, 0
clientEvent, server time, 10.802482, client Time, 1.771377,server step, 175, client step, 176, step Time, 176, input jump, 0
clientEvent, server time, 10.819214, client Time, 1.786963,server step, 176, client step, 177, step Time, 177, input jump, 0
clientEvent, server time, 10.836029, client Time, 1.804114,server step, 177, client step, 178, step Time, 178, input jump, 0
clientEvent, server time, 10.852664, client Time, 1.805114,server step, 178, client step, 179, step Time, 179, input jump, 0
clientEvent, server time, 10.869317, client Time, 1.821622,server step, 179, client step, 180, step Time, 180, input jump, 0
clientEvent, server time, 10.885952, client Time, 1.820622,server step, 180, client step, 181, step Time, 181, input jump, 0
clientEvent, server time, 10.902439, client Time, 1.838044,server step, 181, client step, 182, step Time, 182, input jump, 0
