newTime, 1.075199, absoluteTime, 1.075199, accumulator, 0.005199, discrete time, 107, input jump, 0
newTime, 1.091820, absoluteTime, 1.091820, accumulator, 0.021820, discrete time, 107, input jump, 0
newTime, 1.091820, absoluteTime, 1.091820, accumulator, 0.011820, discrete time, 108, input jump, 0
newTime, 1.091820, absoluteTime, 1.091820, accumulator, 0.011820, discrete time, 108, input jump, 0
newTime, 1.091820, absoluteTime, 1.091820, accumulator, 0.001820, discrete time, 109, input jump, 0
newTime, 1.108387, absoluteTime, 1.108387, accumulator, 0.018387, discrete time, 109, input jump, 0
newTime, 1.108387, absoluteTime, 1.108387, accumulator, 0.008387, discrete time, 110, input jump, 0
newTime, 1.125070, absoluteTime, 1.125070, accumulator, 0.025070, discrete time, 110, input jump, 0
newTime, 1.125070, absoluteTime, 1.125070, accumulator, 0.015070, discrete time, 111, input jump, 0
newTime, 1.125070, absoluteTime, 1.125070, accumulator, 0.015070, discrete time, 111, input jump, 0
newTime, 1.125070, absoluteTime, 1.125070, accumulator, 0.005070, discrete time, 112, input jump, 0
newTime, 1.141729, absoluteTime, 1.141729, accumulator, 0.021729, discrete time, 112, input jump, 0
newTime, 1.141729, absoluteTime, 1.141729, accumulator, 0.011729, discrete time, 113, input jump, 0
newTime, 1.141729, absoluteTime, 1.141729, accumulator, 0.011729, discrete time, 113, input jump, 0
newTime, 1.141729, absoluteTime, 1.141729, accumulator, 0.001729, discrete time, 114, input jump, 0
newTime, 1.158503, absoluteTime, 1.158503, accumulator, 0.018503, discrete time, 114, input jump, 0
newTime, 1.158503, absoluteTime, 1.158503, accumulator, 0.008503, discrete time, 115, input jump, 0
newTime, 1.175153, absoluteTime, 1.175153, accumulator, 0.025153, discrete time, 115, input jump, 0
newTime, 1.175153, absoluteTime, 1.175153, accumulator, 0.015153, discrete time, 116, input jump, 0
newTime, 1.175153, absoluteTime, 1.175153, accumulator, 0.015153, discrete time, 116, input jump, 0
newTime, 1.175153, absoluteTime, 1.175153, accumulator, 0.005153, discrete time, 117, input jump, 0
newTime, 1.191940, absoluteTime, 1.191940, accumulator, 0.021940, discrete time, 117, input jump, 0
newTime, 1.191940, absoluteTime, 1.191940, accumulator, 0.011940, discrete time, 118, input jump, 0
newTime, 1.191940, absoluteTime, 1.191940, accumulator, 0.011940, discrete time, 118, input jump, 0
newTime, 1.191940, absoluteTime, 1.191940, accumulator, 0.001940, discrete time, 119, input jump, 0
newTime, 1.208563, absoluteTime, 1.208563, accumulator, 0.018563, discrete time, 119, input jump, 0
newTime, 1.208563, absoluteTime, 1.208563, accumulator, 0.008563, discrete time, 120, input jump, 0
newTime, 1.225052, absoluteTime, 1.225052, accumulator, 0.025052, discrete time, 120, input jump, 0
newTime, 1.225052, absoluteTime, 1.225052, accumulator, 0.015052, discrete time, 121, input jump, 0
newTime, 1.225052, absoluteTime, 1.225052, accumulator, 0.015052, discrete time, 121, input jump, 0
newTime, 1.225052, absoluteTime, 1.225052, accumulator, 0.005052, discrete time, 122, input jump, 0
newTime, 1.241746, absoluteTime, 1.241746, accumulator, 0.021746, discrete time, 122, input jump, 0
newTime, 1.241746, absoluteTime, 1.241746, accumulator, 0.011746, discrete time, 123, input jump, 0
newTime, 1.241746, absoluteTime, 1.241746, accumulator, 0.011746, discrete time, 123, input jump, 0
newTime, 1.241746, absoluteTime, 1.241746, accumulator, 0.001746, discrete time, 124, input jump, 0
newTime, 1.258821, absoluteTime, 1.258821, accumulator, 0.018821, discrete time, 124, input jump, 0
newTime, 1.258821, absoluteTime, 1.258821, accumulator, 0.008821, discrete time, 125, input jump, 0
newTime, 1.275194, absoluteTime, 1.275194, accumulator, 0.025194, discrete time, 125, input jump, 0
newTime, 1.275194, absoluteTime, 1.275194, accumulator, 0.015194, discrete time, 126, input jump, 0
newTime, 1.275194, absoluteTime, 1.275194, accumulator, 0.015194, discrete time, 126, input jump, 0
newTime, 1.275194, absoluteTime, 1.275194, accumulator, 0.005194, discrete time, 127, input jump, 0
newTime, 1.292093, absoluteTime, 1.292093, accumulator, 0.022093, discrete time, 127, input jump, 0
newTime, 1.292093, absoluteTime, 1.292093, accumulator, 0.012093, discrete time, 128, input jump, 0
newTime, 1.292093, absoluteTime, 1.292093, accumulator, 0.012093, discrete time, 128, input jump, 0
newTime, 1.292093, absoluteTime, 1.292093, accumulator, 0.002093, discrete time, 129, input jump, 0
newTime, 1.308558, absoluteTime, 1.308558, accumulator, 0.018558, discrete time, 129, input jump, 0
newTime, 1.308558, absoluteTime, 1.308558, accumulator, 0.008558, discrete time, 130, input jump, 0
